Time_ms,com_Pos_deg,pul_Pos_deg,com_Vel_deg_per_s,pul_Vel_deg_per_s
0,3.2606978318321175e-15,0.0,6.8289724854112e-11,0.0
51,0.0060046563965092965,3.6,0.117200479184463,3.513287908774007
103,0.03032820303378623,5.4,0.47120848976200364,6.649013428766469
153,0.08281101747153308,7.2,1.0435392910148387,9.563132654717666
204,0.17525093804372477,9.0,1.8396592419010416,12.189023500764819
254,0.3188956533082954,10.8,2.859234825537248,14.553004570024573
304,0.5246565401907162,12.6,4.101355729421501,16.68557760288382
354,0.8038312746589286,14.4,5.5648492169043955,18.604998034643632
404,1.1674027994696379,16.2,7.250472425741998,20.334122136167544
454,1.6259176641355506,18.0,9.154989053014907,21.894700339292
504,2.19081967671354,19.8,11.279730316330596,23.299396039830246
555,2.8750692913880735,21.6,13.628482608187184,24.554590890969326
605,3.689146601060374,23.400000000000002,16.201687750776614,25.681474363801456
655,4.6436125028955555,25.2,18.99532423332362,26.695600904337752
705,5.748926982506963,27.0,22.00750494472003,27.60995377543714
756,7.01644796399753,28.8,25.237519083283264,28.43292544958581
806,8.457564010347545,30.6,28.686296247781,29.172642987457486
856,10.082972056490958,32.4,32.35240673130655,29.838130247898597
906,11.90374458344846,34.2,36.23494399157468,30.436472501660823
956,13.915590764445499,36.0,40.30587003568408,30.998993891498646
1001,15.899108139540827,37.800000000000004,44.14971881048755,31.90558795971304
1042,17.861334814403637,39.6,47.8109808956931,33.10085098110463
1080,19.806110683462542,41.4,51.31728766121634,34.54047093948937
1115,21.737898785321306,43.2,54.693650445824716,36.18266451022604
1149,23.657967099659736,45.0,57.95542276925852,37.99752563105284
1180,25.57050384305723,46.800000000000004,61.12010803230812,39.950143308046485
1210,27.475167724469802,48.6,64.1954791395499,42.02191396638607
1238,29.375413664999066,50.4,67.1928888757816,44.18454079652501
1265,31.270759588079073,52.2,70.12079675236903,46.42542170249648
1291,33.16112918141183,54.0,72.98227512000584,48.732213444479626
1316,35.04832716550702,55.800000000000004,75.7848535138489,51.08731353077603
1340,36.93295022421286,57.6,78.53337891079003,53.47929068205544
1363,38.81487668191665,59.4,81.23129606352187,55.90086463113269
1385,40.690881823421165,61.2,83.87907378046047,58.358854874448085
1407,42.562826453348336,63.0,86.47906206786779,60.838509773911966
1428,44.43070799663813,64.8,89.03428205148892,63.33452341740142
1448,46.29354678344947,66.60000000000001,91.54761024611344,65.84701628625413
1468,48.15356517606286,68.4,94.0209767078002,68.36102888250556
1487,50.01201773052739,70.2,96.46013935144792,70.86755087943178
1506,51.86758945404183,72.0,98.86443881810719,73.37115479607321
1524,53.72738051992249,73.8,101.24126843390488,75.83268210619967
1542,55.58395332942219,75.60000000000001,103.59110928505707,78.29286577417047
1560,57.439127927772354,77.4,105.91018544205659,80.73961111122868
1577,59.293307659547246,79.2,108.20215571469419,83.16969537115591
1594,61.146561027922495,81.0,110.46794082447556,85.58208949673158
1610,62.996454795028775,82.8,112.70693601691099,87.99059055158943
1626,64.84672534623103,84.60000000000001,114.92233045944823,90.37152864293404
1642,66.69643713064151,86.4,117.11544071277869,92.73116716309883
1658,68.5449976876068,88.2,119.28605951319246,95.07329920424576
1673,70.39369528399305,90.0,121.43647152561665,97.38973370983608
1688,72.24151021949544,91.8,123.56626115128704,99.68764053713087
1702,74.08675934986198,93.60000000000001,125.6743360374055,101.97813194896001
1717,75.93288179190648,95.4,127.76414850255148,104.23753513727988
1731,77.77937115867422,97.2,129.83709176886023,106.47059781703203
1745,79.62329153776619,99.0,131.89016416981252,108.69840498715301
1759,81.4660067151046,100.8,133.92493094085438,110.91061203751848
1772,83.30965229444436,102.60000000000001,135.9439575687172,113.09211939932152
1786,85.15345160097111,104.4,137.94774162302588,115.24998785379472
1799,86.99323225237856,106.2,139.93219564560758,117.415640286505
1812,88.8353954736098,108.0,141.904468174377,119.53973375063407
1825,90.67661513420538,109.8,143.86102079599684,121.64979863100791
1837,92.51866418365847,111.60000000000001,145.80384611437833,123.73237222386973
1850,94.36193261716043,113.4,147.73463010677182,125.78580934575999
1862,96.20300200059245,115.2,149.65016698331496,127.83841520914288
1874,98.04324970587862,117.0,151.5514602644321,129.87826441705664
1886,99.88495823490763,118.8,153.44094358529645,131.88703999462655
1898,101.72759233888756,120.60000000000001,155.31944537306236,133.87090883898867
1910,103.56774822775465,122.4,157.18395729228914,135.8592067924078
1921,105.4090255034985,124.2,159.03662981824198,137.8204249088266
1933,107.25034464382802,126.0,160.8787419829858,139.76524525376672
1944,109.09108919722965,127.8,162.70809955319757,141.69937919832995
1955,110.93111258985341,129.6,164.52652796196804,143.62422309044194
1966,112.77162721156591,131.4,166.33377178371748,145.52903309124565
1977,114.61116002276496,133.20000000000002,168.13030292637012,147.42783661904357
1988,116.44972139025712,135.0,169.91520580647887,149.32019910234752
1999,118.29199836061562,136.8,171.6927365339448,151.1634486403848
2009,120.13130784872463,138.6,173.4587088410416,153.02226091724023
2020,121.97162407532666,140.4,175.21494672512458,154.8576821247283
2030,123.81083205534729,142.20000000000002,176.96141858324933,156.69081187866573
2041,125.65840923847708,144.0,178.70224963725283,158.43177733373065
2051,127.50394032547969,145.8,180.43758009278858,160.18720015790865
2061,129.3448129652176,147.6,182.1588935233343,161.97992463122054
2071,131.1859820686634,149.4,183.86969752948625,163.75776366199355
2081,133.02595045731653,151.20000000000002,185.5718802044962,165.5360700739559
2091,134.86682059693499,153.0,187.26467068301017,167.29317385354076
2101,136.7082079191961,154.8,188.9510315885565,169.03427020177136
2110,138.5470968271361,156.6,190.62694322584414,170.79039876023472
