Time_ms,com_Pos_deg,pul_Pos_deg,com_Vel_deg_per_s,pul_Vel_deg_per_s
0,0.0,0.0,0.0,0.0
5,0.009074750263381082,1.8,1.7671455837733312,0.0
10,0.20478838672122707,3.6,3.534289464321425,3.25052518103346
15,0.4978139314017417,5.4,5.301429938420685,6.182039901653786
20,0.8882833094896433,7.2,7.068565302850801,8.822328960914469
25,1.3761896702881244,9.0,8.835693854396382,11.199788951770726
30,1.9616517231630664,10.8,10.602813889848608,13.339639606264601
35,2.6447780137043586,12.6,12.369923706006873,15.265082138860569
40,3.425341616588173,14.4,14.137021599680402,16.998607929303102
45,4.303790765439978,16.2,15.904105867689928,18.557602882235816
50,5.279710180493157,18.0,17.67117480686931,19.96113984353273
55,6.353140532068234,19.8,19.438226714067184,21.224558071398054
60,7.523973264789605,21.6,21.205259886148607,22.362129655732865
65,8.792118430024022,23.400000000000002,22.97227261999668,23.386591560007815
70,10.15752967595469,25.2,24.739263212514214,24.30927025480036
75,11.6206946687401,27.0,26.50622996062534,25.13916577253183
80,13.181440215341029,28.8,28.273171161277215,25.88597982501733
85,14.839352512641799,30.6,30.040085111441584,26.558842252009462
90,16.595392940203986,32.4,31.806970108116445,27.163278535151832
95,18.449044210880405,34.2,33.57382444832774,27.70715851916249
100,20.401407476495546,36.0,35.34064642913094,28.19470739147997
105,22.45109843367152,37.800000000000004,37.1074343476127,28.633941658170006
110,24.539020183610912,39.6,38.87418650089252,29.121896061983918
115,26.632515789223685,41.4,40.64090118612435,29.704035363804014
120,28.768286242174305,43.2,42.40757670049827,30.307688110271805
125,30.876039078797575,45.0,44.17421134124212,31.049353098533004
130,32.98734655321382,46.800000000000004,45.94080340562311,31.861111455147476
135,35.10487531087567,48.6,47.707351190949495,32.730351710788156
140,37.22966093449075,50.4,49.47385299457223,33.64846572673728
145,39.360411323035166,52.2,51.24030711388655,34.61226099314837
150,41.49753492412818,54.0,53.006711846333694,35.61554416576347
155,43.641606306676366,55.800000000000004,54.77306548940247,36.652321627659866
160,45.79370712107945,57.6,56.53936634063093,37.715997085393205
165,47.95362880642478,59.4,58.30561269760803,38.8033746058785
170,50.122946196545506,61.2,60.0718028579752,39.9075196205977
175,52.297946720461475,63.0,61.8379351194281,41.034388642581014
180,54.47919197665233,64.8,63.60400777971815,42.17965868341063
185,56.669105790595914,66.60000000000001,65.37001913665422,43.33478255480162
190,58.867267878476866,68.4,67.13596748810428,44.49883981523436
195,61.07361360323696,70.2,68.90185113199702,45.67016608402564
200,63.28722467805226,72.0,70.6676683663235,46.84949780693488
205,65.50986155016014,73.8,72.43341748913878,48.03056028927029
210,67.74106549044087,75.60000000000001,74.19909679856355,49.213437317659825
215,69.97877465779536,77.4,75.96470459278585,50.402649428531355
220,72.2249295221237,79.2,77.73023917006257,51.5914487736364
225,74.47930980777579,81.0,79.49569882872125,52.7796029213043
230,76.74122404818903,82.8,81.26108186716155,53.96828688771873
235,79.01107935902806,84.60000000000001,83.02638658385705,55.1554679874695
240,81.289054666379,86.4,84.7916112773568,56.339945539589195
245,83.57556030474838,88.2,86.55675424628693,57.51993626643751
250,85.87038183153004,90.0,88.32181378935243,58.69568246467648
255,88.17472683152835,91.8,90.0867882053386,59.863090832809874
260,90.48766601592845,93.60000000000001,91.85167579311289,61.02496003033763
265,92.80918289963492,95.4,93.61647485162636,62.181065328703426
270,95.14215896185303,97.2,95.3811836799154,63.32206262052532
275,97.48689701111458,99.0,97.1458005771034,64.4475099370402
280,99.8350812139766,100.8,98.91032384240236,65.58472728718786
285,102.19049941905392,102.60000000000001,100.67475177511449,66.71977381566855
290,104.55350158791336,104.4,102.43908267463387,67.85102028401217
295,106.92524999965781,106.2,104.20331484044821,68.97425987329756
300,109.30557916141116,108.0,105.96744657214026,70.09007032799636
305,111.69454457579143,109.8,107.73147616938962,71.19824473020742
310,114.0926357841421,111.60000000000001,109.49540193197436,72.29711197296618
315,116.49874830552571,113.4,111.25922215977256,73.39064410314413
320,118.91402966793281,115.2,113.02293515276408,74.47466805186973
325,121.33802373457426,117.0,114.78653921103209,75.55097502250442
330,123.77013585293153,118.8,116.55003263476483,76.62171582594345
335,126.2125256763593,120.60000000000001,118.31341372425702,77.67904277142512
340,128.6623011791504,122.4,120.07668077991184,78.73390715849654
345,131.1221887843353,124.2,121.83983210224224,79.77603344926854
350,133.589528553586,126.0,123.60286599187279,80.81563809320886
355,136.06535880347394,127.8,125.36578074954116,81.84852812656914
360,138.55001852747404,129.6,127.12857467610002,82.87344485324294
365,141.04343398967427,131.4,128.8912460725183,83.89077688283076
370,143.5481397189384,133.20000000000002,130.65379323988313,84.89109871897347
375,146.06021765504266,135.0,132.41621447940136,85.8901174850177
380,148.58033598622404,136.8,134.1785080924012,86.88483486454868
385,151.1096280173121,138.6,135.9406723803339,87.87072694552634
390,153.6484961776371,140.4,137.7027056447753,88.84646407442148
395,156.19518180890555,142.20000000000002,139.46460618742765,89.81919024783981
400,158.75080379147806,144.0,141.2263723101209,90.78426150141966
405,161.3151506249915,145.8,142.98800231481482,91.74263695716776
410,163.88800312053607,147.6,144.7494945036001,92.695230147249
415,166.47492888646758,149.4,146.51084717870057,93.62002845378939
420,169.07698267391416,151.20000000000002,148.27205864247424,94.51491218177968
425,171.6796017801833,153.0,150.0331271974154,95.43987706141618
430,174.31494050087727,154.8,151.79405114615602,96.26378969072482
435,176.9358513254044,156.6,153.5548287914675,97.18331290336852
440,179.56540525012028,158.4,155.31545843626208,98.09674019982232
